,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2014-10-14,344.32,387.34,244.24,33.27804946899414,95.95906829833984,440.56,556.71,86.11463165283203,105.51814270019531,87.43782806396484,118.58999633789062,1920.86,873.22,300.8,321.71,319.4,1321.31,36.5364990234375,279.66
2014-10-15,,,,33.04848861694336,95.94168853759766,,,85.55885314941406,105.98982238769531,87.50331115722656,118.98999786376953,,,,,,,36.23030090332031,
2014-10-16,,,,32.85424041748047,95.94168853759766,,,85.02162170410156,105.8097152709961,87.3069076538086,119.22000122070312,,,,,,,36.80830001831055,
2014-10-17,,,,33.24272918701172,95.94168853759766,,,86.14237976074219,105.5953369140625,87.27057647705078,118.98999786376953,,,,,,,36.857601165771484,
2014-10-19,344.27,387.87,244.04,,,441.29,558.48,,,,,1909.27,875.59,300.76,321.73,319.45,1317.17,,279.62
2014-10-20,343.26,387.48,244.01,33.48112106323242,95.95906829833984,440.77,557.3,87.42992401123047,105.71540069580078,87.43062591552734,119.80000305175781,1903.19,871.56,300.43,321.66,319.16,1312.73,36.65999984741211,279.57
2014-10-21,342.88,387.53,243.98,34.13449478149414,95.95906829833984,440.85,557.35,89.72703552246094,105.6038589477539,87.37965393066406,120.0199966430664,1929.97,876.06,300.03,321.66,318.48,1327.21,36.75,279.55
2014-10-22,342.87,387.56,243.99,33.97557067871094,95.95906829833984,440.83,557.21,89.2638931274414,105.57817840576172,87.23419952392578,119.33999633789062,1923.81,878.5,299.71,321.7,318.15,1330.2,37.0,279.73
2014-10-23,341.96,387.38,243.95,34.35523986816406,95.95906829833984,440.59,556.76,90.60697174072266,105.32949829101562,87.06689453125,118.5199966430664,1917.82,878.98,299.52,321.67,317.78,1327.34,37.0166015625,279.76
2014-10-24,,,,34.655433654785156,95.95906829833984,,,91.34798431396484,105.33806610107422,87.1032485961914,118.3499984741211,,,,,,,36.70130157470703,
2014-10-26,343.47,388.24,243.84,,,441.7,559.27,,,,,1921.18,880.47,300.14,321.73,318.07,1328.36,,279.89
2014-10-27,343.3,387.44,243.7,34.690757751464844,95.95906829833984,440.67,557.04,91.41282653808594,105.4152603149414,87.21235656738281,118.05999755859375,1917.24,878.89,300.03,321.66,318.05,1323.28,36.189998626708984,279.79
